<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
air_defence/germ_20mm_flak38_noground_0;AAA
air_defence/germ_20mm_flak38_noground_1;AAA
air_defence/germ_20mm_flak38_noground_2;AAA
air_defence/germ_20mmx4_flak38_0;AAA
air_defence/germ_20mmx4_flak38_1;AAA
air_defence/germ_20mmx4_flak38_2;AAA
air_defence/germ_20mmx4_flak38_noground_0;AAA
air_defence/germ_20mmx4_flak38_noground_1;AAA
air_defence/germ_20mmx4_flak38_noground_2;AAA
air_defence/germ_37mm_flak43_0;AAA
air_defence/germ_37mm_flak43_1;AAA
air_defence/germ_37mm_flak43_2;AAA
air_defence/germ_37mm_flak43_airfield_0;AAA
air_defence/germ_37mm_flak43_airfield_1;AAA
air_defence/germ_37mm_flak43_airfield_2;AAA
air_defence/germ_37mm_flak43_naval_0;AAA
air_defence/germ_37mm_flak43_naval_1;AAA
air_defence/germ_37mm_flak43_naval_2;AAA
air_defence/germ_37mm_flak43_noground_0;AAA
air_defence/germ_37mm_flak43_noground_1;AAA
air_defence/germ_37mm_flak43_noground_2;AAA
air_defence/germ_88mm_flak36_0;AAA
air_defence/germ_88mm_flak36_1;AAA
air_defence/germ_88mm_flak36_2;AAA
air_defence/germ_88mm_flak36_noground_0;AAA
air_defence/germ_88mm_flak36_noground_1;AAA
air_defence/germ_88mm_flak36_noground_2;AAA
air_defence/germ_flakpanzer38_20mm_0;AAA
air_defence/germ_flakpanzer38_20mm_1;AAA
air_defence/germ_flakpanzer38_20mm_2;AAA
air_defence/germ_sdkfz62_37mm_0;AAA
air_defence/germ_sdkfz62_37mm_1;AAA
air_defence/germ_sdkfz62_37mm_2;AAA
air_defence/germ_sdkfz71_20mm_0;AAA
air_defence/germ_sdkfz71_20mm_1;AAA
air_defence/germ_sdkfz71_20mm_2;AAA
air_defence/jpn_13mm_hotchkiss_0;AAA
air_defence/jpn_13mm_hotchkiss_1;AAA
air_defence/jpn_13mm_hotchkiss_2;AAA
air_defence/jpn_40mm_airfield_0;AAA
air_defence/jpn_40mm_airfield_1;AAA
air_defence/jpn_40mm_airfield_2;AAA
air_defence/jpn_25mm_t96_0;AAA
air_defence/jpn_25mm_t96_1;AAA
air_defence/jpn_25mm_t96_2;AAA
air_defence/jpn_25mm_t96_coastfort_0;AAA
air_defence/jpn_25mm_t96_coastfort_1;AAA
air_defence/jpn_25mm_t96_coastfort_2;AAA
air_defence/jpn_25mm_t96_noground_0;AAA
air_defence/jpn_25mm_t96_noground_1;AAA
air_defence/jpn_25mm_t96_noground_2;AAA
air_defence/jpn_25mm_t96_sandfort_0;AAA
air_defence/jpn_25mm_t96_sandfort_1;AAA
air_defence/jpn_25mm_t96_sandfort_2;AAA
air_defence/jpn_25mm_t96_sandfort2_0;AAA
air_defence/jpn_25mm_t96_sandfort2_1;AAA
air_defence/jpn_25mm_t96_sandfort2_2;AAA
air_defence/jpn_75mm_t88_0;AAA
air_defence/jpn_75mm_t88_1;AAA
air_defence/jpn_75mm_t88_2;AAA
air_defence/jpn_75mm_t88_coastfort_0;AAA
air_defence/jpn_75mm_t88_coastfort_1;AAA
air_defence/jpn_75mm_t88_coastfort_2;AAA
air_defence/jpn_75mm_t88_noground_0;AAA
air_defence/jpn_75mm_t88_noground_1;AAA
air_defence/jpn_75mm_t88_noground_2;AAA
air_defence/jpn_75mm_t88_sandfort_0;AAA
air_defence/jpn_75mm_t88_sandfort_1;AAA
air_defence/jpn_75mm_t88_sandfort_2;AAA
air_defence/jpn_80mm_t3_0;AAA
air_defence/jpn_80mm_t3_1;AAA
air_defence/jpn_80mm_t3_2;AAA
air_defence/searchLight_0;Search light
air_defence/searchLight_1;Search light
air_defence/searchLight_2;Search light
air_defence/uk_12mm_m2_0;Light AA gun
air_defence/uk_12mm_m2_1;Light AA
air_defence/uk_12mm_m2_2;AAA
air_defence/uk_12mm_m2_noground_0;Light AA gun
air_defence/uk_12mm_m2_noground_1;Light AAA
air_defence/uk_12mm_m2_noground_2;AAA
air_defence/uk_40mm_bofors_0;AAA
air_defence/uk_40mm_bofors_1;AAA
air_defence/uk_40mm_bofors_2;AAA
air_defence/uk_40mm_bofors_noground_0;AAA
air_defence/uk_40mm_bofors_noground_1;AAA
air_defence/uk_40mm_bofors_noground_2;AAA
air_defence/uk_40mm_bofors_airfield_0;AAA
air_defence/uk_40mm_bofors_airfield_1;AAA
air_defence/uk_40mm_bofors_airfield_2;AAA
air_defence/40mm_arcade_gun_0;AAA
air_defence/40mm_arcade_gun_1;AAA
air_defence/40mm_arcade_gun_2;AAA
air_defence/us_12mm_m2_0;Light AA gun
air_defence/us_12mm_m2_1;Light AAA
air_defence/us_12mm_m2_2;AAA
air_defence/us_12mm_m2_coastfort_0;Light AA gun
air_defence/us_12mm_m2_coastfort_1;Light AAA
air_defence/us_12mm_m2_coastfort_2;AAA
air_defence/us_12mm_m2_noground_0;Light AA gun
air_defence/us_12mm_m2_noground_1;Light AAA
air_defence/us_12mm_m2_noground_2;AAA
air_defence/us_12mm_m2_sandfort_0;Light AA gun
air_defence/us_12mm_m2_sandfort_1;AAA
air_defence/us_12mm_m2_sandfort_2;AAA
air_defence/us_40mm_bofors_0;AAA
air_defence/us_40mm_bofors_1;AAA
air_defence/us_40mm_bofors_2;AAA
air_defence/us_40mm_bofors_airfield_0;AAA
air_defence/us_40mm_bofors_airfield_1;AAA
air_defence/us_40mm_bofors_airfield_2;AAA
air_defence/us_40mm_bofors_noground_0;AAA
air_defence/us_40mm_bofors_noground_1;AAA
air_defence/us_40mm_bofors_noground_2;AAA
air_defence/us_90mm_m1_0;AAA
air_defence/us_90mm_m1_1;AAA
air_defence/us_90mm_m1_2;AAA
air_defence/us_90mm_versus_0;AAA
air_defence/us_90mm_versus_1;AAA
air_defence/us_90mm_versus_2;AAA
air_defence/us_m16_truck_0;AAA
air_defence/us_m16_truck_1;AAA
air_defence/us_m16_truck_2;AAA
air_defence/ussr_25mm_72k_0;AAA
air_defence/ussr_25mm_72k_1;AAA
air_defence/ussr_25mm_72k_2;AAA
air_defence/ussr_25mm_72k_airfield_0;AAA
air_defence/ussr_25mm_72k_airfield_1;AAA
air_defence/ussr_25mm_72k_airfield_2;AAA
air_defence/ussr_25mm_72k_noground_0;AAA
air_defence/ussr_25mm_72k_noground_1;AAA
air_defence/ussr_25mm_72k_noground_2;AAA
air_defence/ussr_37mm_61k_0;AAA
air_defence/ussr_37mm_61k_1;AAA
air_defence/ussr_37mm_61k_2;AAA
air_defence/ussr_37mm_61k_noground_0;AAA
air_defence/ussr_37mm_61k_noground_1;AAA
air_defence/ussr_37mm_61k_noground_2;AAA
air_defence/ussr_37mm_61k_airfield_0;AAA
air_defence/ussr_37mm_61k_airfield_1;AAA
air_defence/ussr_37mm_61k_airfield_2;AAA
air_defence/ussr_85mm_52k_0;AAA
air_defence/ussr_85mm_52k_1;AAA
air_defence/ussr_85mm_52k_2;AAA
air_defence/ussr_85mm_52k_noground_0;AAA
air_defence/ussr_85mm_52k_noground_1;AAA
air_defence/ussr_85mm_52k_noground_2;AAA
air_defence/ussr_zis5_37mm_0;AAA
air_defence/ussr_zis5_37mm_1;AAA
air_defence/ussr_zis5_37mm_2;AAA
air_defence/ussr_zis5_20mm_0;AAA
air_defence/ussr_zis5_20mm_1;AAA
air_defence/ussr_zis5_20mm_2;AAA
air_defence/arcade_germ_37mm_0;AAA
air_defence/arcade_germ_37mm_1;AAA
air_defence/arcade_germ_37mm_2;AAA
air_defence/arcade_germ_88mm_0;AAA
air_defence/arcade_germ_88mm_1;AAA
air_defence/arcade_germ_88mm_2;AAA
air_defence/arcade_jpn_25mm_0;AAA
air_defence/arcade_jpn_25mm_1;AAA
air_defence/arcade_jpn_25mm_2;AAA
air_defence/arcade_jpn_80mm_0;AAA
air_defence/arcade_jpn_80mm_1;AAA
air_defence/arcade_jpn_80mm_2;AAA
air_defence/arcade_uk_40mm_0;AAA
air_defence/arcade_uk_40mm_1;AAA
air_defence/arcade_uk_40mm_2;AAA
air_defence/arcade_uk_90mm_0;AAA
air_defence/arcade_uk_90mm_1;AAA
air_defence/arcade_uk_90mm_2;AAA
air_defence/arcade_us_40mm_0;AAA
air_defence/arcade_us_40mm_1;AAA
air_defence/arcade_us_40mm_2;AAA
air_defence/arcade_us_90mm_0;AAA
air_defence/arcade_us_90mm_1;AAA
air_defence/arcade_us_90mm_2;AAA
air_defence/arcade_ussr_37mm_0;AAA
air_defence/arcade_ussr_37mm_1;AAA
air_defence/arcade_ussr_37mm_2;AAA
air_defence/arcade_ussr_85mm_0;AAA
air_defence/arcade_ussr_85mm_1;AAA
air_defence/arcade_ussr_85mm_2;AAA
structures/barrage_balloon_b_unit_0;Barrage balloon
structures/barrage_balloon_b_unit_1;Balloon
structures/barrage_balloon_b_unit_2;Balloon
structures/barrage_balloon_unit_0;Barrage balloon
structures/barrage_balloon_unit_1;Balloon
structures/barrage_balloon_unit_2;Balloon
structures/barrage_balloon_unit_light_0;Barrage balloon
structures/barrage_balloon_unit_light_1;Balloon
structures/barrage_balloon_unit_light_2;Balloon
structures/germ_37mm_pak36_0;Artillery
structures/germ_37mm_pak36_1;Artillery
structures/germ_37mm_pak36_2;Artillery
structures/germ_37mm_pak36_noground_light_0;Artillery
structures/germ_37mm_pak36_noground_light_1;Artillery
structures/germ_37mm_pak36_noground_light_2;Artillery
structures/germ_37mm_pak36_noground_0;Artillery
structures/germ_37mm_pak36_noground_1;Artillery
structures/germ_37mm_pak36_noground_2;Artillery
structures/germ_50mm_pak38_0;Artillery
structures/germ_50mm_pak38_1;Artillery
structures/germ_50mm_pak38_2;Artillery
structures/germ_75mm_pak40_0;Artillery
structures/germ_75mm_pak40_1;Artillery
structures/germ_75mm_pak40_2;Artillery
structures/germ_75mm_pak40_noground_0;Artillery
structures/germ_75mm_pak40_noground_1;Artillery
structures/germ_75mm_pak40_noground_2;Artillery
structures/germ_88mm_pak43_0;Artillery
structures/germ_88mm_pak43_1;Artillery
structures/germ_88mm_pak43_2;Artillery
structures/germ_88mm_pak43_noground_0;Artillery
structures/germ_88mm_pak43_noground_1;Artillery
structures/germ_88mm_pak43_noground_2;Artillery
structures/germ_quest_large_art_0;Howitzer
structures/germ_quest_large_art_1;Howitzer
structures/germ_quest_large_art_2;Howitzer
structures/germ_quest_large_art_noground_0;Howitzer
structures/germ_quest_large_art_noground_1;Howitzer
structures/germ_quest_large_art_noground_2;Howitzer
structures/jpn_37mm_t94_0;Artillery
structures/jpn_37mm_t94_1;Artillery
structures/jpn_37mm_t94_2;Artillery
structures/jpn_37mm_t94_coastfort_0;Artillery
structures/jpn_37mm_t94_coastfort_1;Artillery
structures/jpn_37mm_t94_coastfort_2;Artillery
structures/jpn_47mm_t1_0;Artillery
structures/jpn_47mm_t1_1;Artillery
structures/jpn_47mm_t1_2;Artillery
structures/jpn_47mm_t1_coastfort_0;Artillery
structures/jpn_47mm_t1_coastfort_1;Artillery
structures/jpn_47mm_t1_coastfort_2;Artillery
structures/jpn_75mm_t90_0;Artillery
structures/jpn_75mm_t90_1;Artillery
structures/jpn_75mm_t90_2;Artillery
structures/jpn_75mm_t90_coastfort_0;Artillery
structures/jpn_75mm_t90_coastfort_1;Artillery
structures/jpn_75mm_t90_coastfort_2;Artillery
structures/jpn_75mm_t90_noground_0;Artillery
structures/jpn_75mm_t90_noground_1;Artillery
structures/jpn_75mm_t90_noground_2;Artillery
structures/jpn_75mm_t90_sandfort_0;Artillery
structures/jpn_75mm_t90_sandfort_1;Artillery
structures/jpn_75mm_t90_sandfort_2;Artillery
structures/watch_tower_0;Watchtower
structures/watch_tower_1;Watchtower
structures/watch_tower_2;Watchtower
structures/stuff_barrels_0;Barrels
structures/stuff_barrels_1;Barrels
structures/stuff_barrels_2;Barrels
structures/stuff_caissons_0;Caissons
structures/stuff_caissons_1;Caissons
structures/stuff_caissons_2;Caissons
structures/stuff_tentBarrels_0;Barrels
structures/stuff_tentBarrels_1;Barrels
structures/stuff_tentBarrels_2;Barrels
structures/stuff_tentCaissons_0;Caissons
structures/stuff_tentCaissons_1;Caissons
structures/stuff_tentCaissons_2;Caissons
structures/uk_57mm_mkIV_0;Artillery
structures/uk_57mm_mkIV_1;Artillery
structures/uk_57mm_mkIV_2;Artillery
structures/uk_87mm_mkII_0;Artillery
structures/uk_87mm_mkII_1;Artillery
structures/uk_87mm_mkII_2;Artillery
structures/uk_87mm_mkII_noground_0;Artillery
structures/uk_87mm_mkII_noground_1;Artillery
structures/uk_87mm_mkII_noground_2;Artillery
structures/uk_bunker_with_naval_cannon_0;Pillbox
structures/uk_bunker_with_naval_cannon_1;Pillbox
structures/uk_bunker_with_naval_cannon_2;Pillbox
structures/uk_bunker_0;Pillbox
structures/uk_bunker_1;Pillbox
structures/uk_bunker_2;Pillbox
structures/uk_bunker_extra_heavy_0;Heavy Pillbox
structures/uk_bunker_extra_heavy_1;Heavy Pillbox
structures/uk_bunker_extra_heavy_2;Heavy Pillbox
structures/uk_bunker_light_0;Light Pillbox
structures/uk_bunker_light_1;Light Pillbox
structures/uk_bunker_light_2;Light Pillbox
structures/uk_bunker_light_fat_0;Light Pillbox
structures/uk_bunker_light_fat_1;Light Pillbox
structures/uk_bunker_light_fat_2;Light Pillbox
structures/us_105mm_m2a1_0;Artillery
structures/us_105mm_m2a1_1;Artillery
structures/us_105mm_m2a1_2;Artillery
structures/us_105mm_m2a1_noground_0;Artillery
structures/us_105mm_m2a1_noground_1;Artillery
structures/us_105mm_m2a1_noground_2;Artillery
structures/us_155mm_m114_0;Artillery
structures/us_155mm_m114_1;Artillery
structures/us_155mm_m114_2;Artillery
structures/us_155mm_m114_ultimate_0;Artillery
structures/us_155mm_m114_ultimate_1;Artillery
structures/us_155mm_m114_ultimate_2;Artillery
structures/us_37mm_m3_0;Artillery
structures/us_37mm_m3_1;Artillery
structures/us_37mm_m3_2;Artillery
